No.,Class,SMILES,pIC50,Y-Label,MW,RBN,nCIC,nHDon,nHAcc,ALogP,TPSA,Qm,Energy,Dipole moment,HOMO,LUMO,HOMO-LUMO gap,Article Title,Reference,fp,desc,MW,ExactMolWt,LogP,HBA,HBD,TPSA,AromaticRings,RotatableBonds,HeavyAtoms,QED,FractionCSP3,RingCount,pIC50_pred,IC50_pred_nM
627,Non-Steroid,FC(C=C1)=CC=C1C(C2N=CNC2)CCCCC3=CC=C(C)C=C3,8.294942268916857,Inactive,324.48,7,3,1,3,5.402,24.39,0.197239469,-1024.61278,2.4528,-0.22051,-0.0098,0.21071,Modeling of diarylalkyl-imidazole and diarylalkyl-triazole derivatives as potent aromatase inhibitors for treatment of hormone-dependent cancer,J Comput Chem. 2010;31(12):2342-87,[0 1 0 ... 0 0 0],"[324.443, 324.20017702, 4.6308200000000035, 2, 1, 24.39, 2, 7, 24, 0.7378063506916245, 0.38095238095238093, 3]",324.443,324.20017702,4.6308200000000035,2,1,24.39,2,7,24,0.7378063506916245,0.38095238095238093,3,8.27277889879125,5.336064877300156
628,Non-Steroid,N#CC(C=C1)=CC=C1C(CC2N=CNC2)C3=CC=C(OC)C=C3,8.216769736411791,Active,305.41,5,3,1,4,3.137,57.41,0.204259048,-974.9058464,6.8438,-0.21439,-0.04388,0.17051,Modeling of diarylalkyl-imidazole and diarylalkyl-triazole derivatives as potent aromatase inhibitors for treatment of hormone-dependent cancer,J Comput Chem. 2010;31(12):2342-88,[0 1 0 ... 0 0 0],"[305.38100000000003, 305.152812228, 3.088980000000001, 4, 1, 57.41, 2, 5, 23, 0.9232274464962215, 0.2631578947368421, 3]",305.38100000000003,305.152812228,3.088980000000001,4,1,57.41,2,5,23,0.9232274464962215,0.2631578947368421,3,8.225468638782926,5.950197226950534
629,Non-Steroid,N#CC(C=C1)=CC=C1C(CC2N=CNC2)C3=CC=C(C#N)C=C3,8.217133282026225,Active,300.39,4,3,1,4,3.032,71.97,0.202248974,-952.6270608,7.7672,-0.23445,-0.05835,0.1761,Modeling of diarylalkyl-imidazole and diarylalkyl-triazole derivatives as potent aromatase inhibitors for treatment of hormone-dependent cancer,J Comput Chem. 2010;31(12):2342-89,[0 1 0 ... 0 0 0],"[300.365, 300.137496512, 2.9520600000000012, 4, 1, 71.97, 2, 4, 23, 0.9431979033839373, 0.21052631578947367, 3]",300.365,300.137496512,2.9520600000000012,4,1,71.97,2,4,23,0.9431979033839373,0.21052631578947367,3,8.220907817496418,6.013013549971114
630,Non-Steroid,CC1=CC=CC=C1C(CCC2N=CNC2)C3=CC=CC=C3,8.262130109193974,Inactive,278.43,5,3,1,2,4.216,24.39,0.179750349,-846.7639658,2.3206,-0.21812,0.00084,0.21896,Modeling of diarylalkyl-imidazole and diarylalkyl-triazole derivatives as potent aromatase inhibitors for treatment of hormone-dependent cancer,J Comput Chem. 2010;31(12):2342-90,[0 1 0 ... 0 0 0],"[278.399, 278.178298704, 3.9072200000000024, 2, 1, 24.39, 2, 5, 21, 0.880828945392758, 0.3157894736842105, 3]",278.399,278.178298704,3.9072200000000024,2,1,24.39,2,5,21,0.880828945392758,0.3157894736842105,3,8.289283715603238,5.137079471622723
631,Non-Steroid,FC(C=C1)=CC=C1C(CCN2C=CN=C2)C3=CC=CC=C3,8.275639738301319,Inactive,280.37,5,3,0,2,3.774,17.82,0.177531816,-905.4828789,4.5688,-0.21964,-0.02194,0.1977,Modeling of diarylalkyl-imidazole and diarylalkyl-triazole derivatives as potent aromatase inhibitors for treatment of hormone-dependent cancer,J Comput Chem. 2010;31(12):2342-91,[0 1 0 ... 0 0 0],"[280.346, 280.137576764, 4.244400000000002, 2, 0, 17.82, 3, 5, 21, 0.6830738825488032, 0.16666666666666666, 3]",280.346,280.137576764,4.244400000000002,2,0,17.82,3,5,21,0.6830738825488032,0.16666666666666666,3,8.201734017083924,6.2844312990010565
632,Non-Steroid,CC1=CC(C(CCC2N=CNC2)C3=CC=CC=C3)=CC=C1,8.25165224474116,Inactive,278.43,5,3,1,2,4.216,24.39,0.185983047,-846.7684248,2.7043,-0.22002,0.00216,0.22218,Modeling of diarylalkyl-imidazole and diarylalkyl-triazole derivatives as potent aromatase inhibitors for treatment of hormone-dependent cancer,J Comput Chem. 2010;31(12):2342-92,[0 1 0 ... 0 0 0],"[278.39900000000006, 278.178298704, 3.9072200000000024, 2, 1, 24.39, 2, 5, 21, 0.880828945392758, 0.3157894736842105, 3]",278.39900000000006,278.178298704,3.9072200000000024,2,1,24.39,2,5,21,0.880828945392758,0.3157894736842105,3,8.289283715603238,5.137079471622723
633,Non-Steroid,FC1=CC=CC=C1C(CCC2N=CNC2)C3=CC=CC=C3,8.319131690587083,Inactive,282.39,5,3,1,3,3.936,24.39,0.182679175,-906.6821784,3.3134,-0.21743,-0.00387,0.21356,Modeling of diarylalkyl-imidazole and diarylalkyl-triazole derivatives as potent aromatase inhibitors for treatment of hormone-dependent cancer,J Comput Chem. 2010;31(12):2342-93,[0 1 0 ... 0 0 0],"[282.362, 282.153226828, 3.7379000000000024, 2, 1, 24.39, 2, 5, 21, 0.8873658973426892, 0.2777777777777778, 3]",282.362,282.153226828,3.7379000000000024,2,1,24.39,2,5,21,0.8873658973426892,0.2777777777777778,3,8.284913693090669,5.189031497885949
634,Non-Steroid,FC(C=C1)=CC=C1C(CCC2N=CNC2)C3=CC=CC=C3,8.255484686147076,Inactive,282.39,5,3,1,3,3.936,24.39,0.1902479,-906.6843679,3.4921,-0.22308,-0.00548,0.2176,Modeling of diarylalkyl-imidazole and diarylalkyl-triazole derivatives as potent aromatase inhibitors for treatment of hormone-dependent cancer,J Comput Chem. 2010;31(12):2342-94,[0 1 0 ... 0 0 0],"[282.362, 282.153226828, 3.7379000000000024, 2, 1, 24.39, 2, 5, 21, 0.8873658973426892, 0.2777777777777778, 3]",282.362,282.153226828,3.7379000000000024,2,1,24.39,2,5,21,0.8873658973426892,0.2777777777777778,3,8.280310988861359,5.244317915274458
635,Non-Steroid,CC1=CC(C(C2=CC=CC(C)=C2)CCC3N=CNC3)=CC=C1,8.341717423968634,Inactive,292.46,5,3,1,2,4.703,24.39,0.195825522,-886.086308,2.8879,-0.21964,0.00427,0.22391,Modeling of diarylalkyl-imidazole and diarylalkyl-triazole derivatives as potent aromatase inhibitors for treatment of hormone-dependent cancer,J Comput Chem. 2010;31(12):2342-95,[0 1 0 ... 0 0 0],"[292.426, 292.193948768, 4.215640000000003, 2, 1, 24.39, 2, 5, 22, 0.8765745920308998, 0.35, 3]",292.426,292.193948768,4.215640000000003,2,1,24.39,2,5,22,0.8765745920308998,0.35,3,8.288428384418163,5.147206779555576
636,Non-Steroid,CC(C=C1)=CC=C1C(C2=CC=C(C)C=C2)CCC3N=CNC3,8.263131054648865,Inactive,292.46,5,3,1,2,4.703,24.39,0.195276891,-886.0863019,2.9022,-0.21537,0.0024,0.21777,Modeling of diarylalkyl-imidazole and diarylalkyl-triazole derivatives as potent aromatase inhibitors for treatment of hormone-dependent cancer,J Comput Chem. 2010;31(12):2342-96,[0 1 0 ... 0 0 0],"[292.426, 292.193948768, 4.215640000000003, 2, 1, 24.39, 2, 5, 22, 0.8765745920308998, 0.35, 3]",292.426,292.193948768,4.215640000000003,2,1,24.39,2,5,22,0.8765745920308998,0.35,3,8.288428384418163,5.147206779555576
638,Non-Steroid,NC(C=C1)=CC=C1C(C2=CC=C(N)C=C2)CCC3N=CNC3,8.33865813550478,Inactive,294.44,5,3,5,4,2.237,76.43,0.227787455,-918.1559213,2.1007,-0.18321,0.0078,0.19101,Modeling of diarylalkyl-imidazole and diarylalkyl-triazole derivatives as potent aromatase inhibitors for treatment of hormone-dependent cancer,J Comput Chem. 2010;31(12):2342-97,[0 1 0 ... 0 0 0],"[294.402, 294.184446704, 2.7632000000000003, 4, 3, 76.43, 2, 5, 22, 0.7421155754244461, 0.2777777777777778, 3]",294.402,294.184446704,2.7632000000000003,4,3,76.43,2,5,22,0.7421155754244461,0.2777777777777778,3,8.297018127235468,5.0464023369180655
639,Non-Steroid,O=[N+](C(C=C1)=CC=C1C(C2=CC=C([N+]([O-])=O)C=C2)CCC3N=CNC3)[O-],8.327997327298576,Inactive,354.4,7,3,1,6,3.519,116.03,0.225458455,-1216.456071,5.9458,-0.23577,-0.09259,0.14318,Modeling of diarylalkyl-imidazole and diarylalkyl-triazole derivatives as potent aromatase inhibitors for treatment of hormone-dependent cancer,J Comput Chem. 2010;31(12):2342-98,[0 1 0 ... 0 0 0],"[354.36600000000004, 354.132805056, 3.4152000000000022, 6, 1, 110.66999999999999, 2, 7, 26, 0.604829189525151, 0.2777777777777778, 3]",354.36600000000004,354.132805056,3.4152000000000022,6,1,110.66999999999999,2,7,26,0.604829189525151,0.2777777777777778,3,8.296728547152814,5.049768313167879
640,Non-Steroid,FC(C=C1)=CC=C1C(C2=CC=C(F)C=C2)CCC3N=CNC3,8.261101686010912,Inactive,300.38,5,3,1,4,4.141,24.39,0.2055997,-1005.917701,3.1351,-0.22493,-0.01314,0.21179,Modeling of diarylalkyl-imidazole and diarylalkyl-triazole derivatives as potent aromatase inhibitors for treatment of hormone-dependent cancer,J Comput Chem. 2010;31(12):2342-99,[0 1 0 ... 0 0 0],"[300.352, 300.143805016, 3.8770000000000033, 2, 1, 24.39, 2, 5, 22, 0.8901792486230532, 0.2777777777777778, 3]",300.352,300.143805016,3.8770000000000033,2,1,24.39,2,5,22,0.8901792486230532,0.2777777777777778,3,8.279614254831232,5.252738071249367
641,Non-Steroid,N#CC(C=C1)=CC=C1C(C2=CC=C(C#N)C=C2)CCC3N=CNC3,8.236880613624288,Inactive,314.42,5,3,1,4,3.488,71.97,0.2024395,-991.9394045,5.8184,-0.23462,-0.05639,0.17823,Modeling of diarylalkyl-imidazole and diarylalkyl-triazole derivatives as potent aromatase inhibitors for treatment of hormone-dependent cancer,J Comput Chem. 2010;31(12):2342-100,[0 1 0 ... 0 0 0],"[314.392, 314.15314657600004, 3.3421600000000025, 4, 1, 71.97, 2, 5, 24, 0.9196435386848667, 0.25, 3]",314.392,314.15314657600004,3.3421600000000025,4,1,71.97,2,5,24,0.9196435386848667,0.25,3,8.22870553446246,5.906013910617917
642,Non-Steroid,FC(C=C1)=CC=C1C(N2N=CN=C2)CCC3=CC=C(F)C=C3,8.267771946364356,Inactive,299.35,5,3,0,4,4.18,30.71,0.203234,-1020.75473,2.1954,-0.24147,-0.02073,0.22074,Modeling of diarylalkyl-imidazole and diarylalkyl-triazole derivatives as potent aromatase inhibitors for treatment of hormone-dependent cancer,J Comput Chem. 2010;31(12):2342-101,[0 1 0 ... 0 0 0],"[299.324, 299.12340392000004, 3.778500000000003, 3, 0, 30.71, 3, 5, 22, 0.7175930743518354, 0.17647058823529413, 3]",299.324,299.12340392000004,3.778500000000003,3,0,30.71,3,5,22,0.7175930743518354,0.17647058823529413,3,8.234229128321564,5.831373671407864
643,Non-Steroid,FC(C=C1)=CC=C1C(C2N=CNC2)CCCCC3=CC=CC=C3C,8.263131054648865,Inactive,324.48,7,3,1,3,5.402,24.39,0.194818347,-1024.611845,2.4459,-0.22255,-0.00798,0.21457,Modeling of diarylalkyl-imidazole and diarylalkyl-triazole derivatives as potent aromatase inhibitors for treatment of hormone-dependent cancer,J Comput Chem. 2010;31(12):2342-102,[0 1 0 ... 0 0 0],"[324.443, 324.20017702, 4.630820000000004, 2, 1, 24.39, 2, 7, 24, 0.7378063506916244, 0.38095238095238093, 3]",324.443,324.20017702,4.630820000000004,2,1,24.39,2,7,24,0.7378063506916244,0.38095238095238093,3,8.270243895034653,5.367302898519129
644,Non-Steroid,FC(C=C1)=CC=C1C(C2N=CNC2)CCCC3=CC=CC=C3,8.214890214875727,Active,296.42,6,3,1,3,4.459,24.39,0.188159093,-945.995722,3.0727,-0.22174,-0.01369,0.20805,Modeling of diarylalkyl-imidazole and diarylalkyl-triazole derivatives as potent aromatase inhibitors for treatment of hormone-dependent cancer,J Comput Chem. 2010;31(12):2342-103,[0 1 0 ... 0 0 0],"[296.38899999999995, 296.168876892, 3.9323000000000023, 2, 1, 24.39, 2, 6, 22, 0.8578307030163128, 0.3157894736842105, 3]",296.38899999999995,296.168876892,3.9323000000000023,2,1,24.39,2,6,22,0.8578307030163128,0.3157894736842105,3,8.264162628884474,5.442987928236647
645,Non-Steroid,N#CC(C=C1)=CC=C1C(C2N=CNC2)CCCC3=CC=CC=C3,8.175367847062448,Active,303.44,6,3,1,3,4.133,48.18,0.187182841,-939.0063427,5.1212,-0.2291,-0.05184,0.17726,Modeling of diarylalkyl-imidazole and diarylalkyl-triazole derivatives as potent aromatase inhibitors for treatment of hormone-dependent cancer,J Comput Chem. 2010;31(12):2342-104,[0 1 0 ... 0 0 0],"[303.40899999999993, 303.17354767200004, 3.664880000000003, 3, 1, 48.18, 2, 6, 23, 0.8849236084112446, 0.3, 3]",303.40899999999993,303.17354767200004,3.664880000000003,3,1,48.18,2,6,23,0.8849236084112446,0.3,3,8.213224455654865,6.12033993515344
646,Non-Steroid,FC(C=C1)=CC=C1C(C2N=CNC2)CCCC3=CC=C(F)C=C3,8.207562120066182,Active,314.41,6,3,1,4,4.665,24.39,0.202663512,-1045.22921,4.357,-0.22329,-0.01596,0.20733,Modeling of diarylalkyl-imidazole and diarylalkyl-triazole derivatives as potent aromatase inhibitors for treatment of hormone-dependent cancer,J Comput Chem. 2010;31(12):2342-105,[0 1 0 ... 0 0 0],"[314.37899999999996, 314.15945508, 4.071400000000003, 2, 1, 24.39, 2, 6, 23, 0.8537243799071658, 0.3157894736842105, 3]",314.37899999999996,314.15945508,4.071400000000003,2,1,24.39,2,6,23,0.8537243799071658,0.3157894736842105,3,8.251889861917903,5.598995753153382
647,Non-Steroid,N#CC(C=C1)=CC=C1C(C2N=CN=C2)CCC3=CC=C(C#N)C=C3,8.224855234569844,Inactive,312.4,5,3,0,4,3.93,72.3,0.194546525,-990.7185505,4.0236,-0.25951,-0.07228,0.18723,Modeling of diarylalkyl-imidazole and diarylalkyl-triazole derivatives as potent aromatase inhibitors for treatment of hormone-dependent cancer,J Comput Chem. 2010;31(12):2342-106,[0 1 0 ... 0 0 0],"[312.37600000000003, 312.13749651200004, 3.6276600000000023, 4, 0, 72.3, 2, 5, 24, 0.8453519588695189, 0.2, 3]",312.37600000000003,312.13749651200004,3.6276600000000023,4,0,72.3,2,5,24,0.8453519588695189,0.2,3,8.211713007867786,6.141677277494899
648,Non-Steroid,FC(C=C1)=CC=C1CCCC(C2N=CNC2)C3=CC=C(C#N)C=C3,8.177944945826134,Active,321.43,6,3,1,4,4.338,48.18,0.200079523,-1038.238518,6.6762,-0.23068,-0.0405,0.19018,Modeling of diarylalkyl-imidazole and diarylalkyl-triazole derivatives as potent aromatase inhibitors for treatment of hormone-dependent cancer,J Comput Chem. 2010;31(12):2342-107,[0 1 0 ... 0 0 0],"[321.39900000000006, 321.16412586, 3.803980000000002, 3, 1, 48.18, 2, 6, 24, 0.8794107065470734, 0.3, 3]",321.39900000000006,321.16412586,3.803980000000002,3,1,48.18,2,6,24,0.8794107065470734,0.3,3,8.18968990351172,6.4611540598619355
649,Non-Steroid,FC(C=C1)=CC=C1C(C2N=CNC2)CCC3=CC=CC=C3,8.210778860453235,Active,282.39,5,3,1,3,4.003,24.39,0.1886589,-906.686332,3.1102,-0.22255,-0.0121,0.21045,Modeling of diarylalkyl-imidazole and diarylalkyl-triazole derivatives as potent aromatase inhibitors for treatment of hormone-dependent cancer,J Comput Chem. 2010;31(12):2342-108,[0 1 0 ... 0 0 0],"[282.36199999999997, 282.153226828, 3.542200000000002, 2, 1, 24.39, 2, 5, 21, 0.8909057342860629, 0.2777777777777778, 3]",282.36199999999997,282.153226828,3.542200000000002,2,1,24.39,2,5,21,0.8909057342860629,0.2777777777777778,3,8.27880655965664,5.262516134277228
650,Non-Steroid,FC(C=C1)=CC=C1C(C2N=CNC2)CCC3=CC=C(F)C=C3,8.247369502068667,Inactive,300.38,5,3,1,4,4.209,24.39,0.20423875,-1005.919851,4.3672,-0.22443,-0.01403,0.2104,Modeling of diarylalkyl-imidazole and diarylalkyl-triazole derivatives as potent aromatase inhibitors for treatment of hormone-dependent cancer,J Comput Chem. 2010;31(12):2342-109,[0 1 0 ... 0 0 0],"[300.352, 300.143805016, 3.681300000000002, 2, 1, 24.39, 2, 5, 22, 0.8947114313495698, 0.2777777777777778, 3]",300.352,300.143805016,3.681300000000002,2,1,24.39,2,5,22,0.8947114313495698,0.2777777777777778,3,8.270316522133015,5.3664053991045755
651,Non-Steroid,FC(C=C1)=CC=C1C(CC2N=CNC2)CC3=CC=CC=C3,8.271115053831668,Inactive,282.39,5,3,1,3,3.936,24.39,0.187733725,-906.6839826,3.6323,-0.21743,-0.00222,0.21521,Modeling of diarylalkyl-imidazole and diarylalkyl-triazole derivatives as potent aromatase inhibitors for treatment of hormone-dependent cancer,J Comput Chem. 2010;31(12):2342-110,[0 1 0 ... 0 0 0],"[282.362, 282.153226828, 3.542200000000002, 2, 1, 24.39, 2, 5, 21, 0.8909057342860629, 0.2777777777777778, 3]",282.362,282.153226828,3.542200000000002,2,1,24.39,2,5,21,0.8909057342860629,0.2777777777777778,3,8.279791326584851,5.250596846821562
653,Non-Steroid,FC(C=C1)=CC=C1C(CC2N=CNC2)CCC3=CC=CC=C3,8.247369502068667,Inactive,296.42,6,3,1,3,4.392,24.39,0.18622007,-945.9951655,3.9388,-0.21999,0.00053,0.22052,Modeling of diarylalkyl-imidazole and diarylalkyl-triazole derivatives as potent aromatase inhibitors for treatment of hormone-dependent cancer,J Comput Chem. 2010;31(12):2342-111,[0 1 0 ... 0 0 0],"[296.389, 296.168876892, 3.9323000000000023, 2, 1, 24.39, 2, 6, 22, 0.8578307030163128, 0.3157894736842105, 3]",296.389,296.168876892,3.9323000000000023,2,1,24.39,2,6,22,0.8578307030163128,0.3157894736842105,3,8.273530690005538,5.326835801889704
654,Non-Steroid,FC(C=C1)=CC=C1C(CC2N=CNC2)CCC3=CC=C(F)C=C3,8.230175562522609,Inactive,314.41,6,3,1,4,4.597,24.39,0.200572628,-1045.228495,4.3224,-0.22148,-0.00639,0.21509,Modeling of diarylalkyl-imidazole and diarylalkyl-triazole derivatives as potent aromatase inhibitors for treatment of hormone-dependent cancer,J Comput Chem. 2010;31(12):2342-112,[0 1 0 ... 0 0 0],"[314.379, 314.15945508, 4.071400000000003, 2, 1, 24.39, 2, 6, 23, 0.8537243799071658, 0.3157894736842105, 3]",314.379,314.15945508,4.071400000000003,2,1,24.39,2,6,23,0.8537243799071658,0.3157894736842105,3,8.261257923038967,5.479514455250347
655,Non-Steroid,FC(C=C1)=CC=C1CCC(CC2N=CNC2)C3=CC=C(C#N)C=C3,8.200588452924745,Active,321.43,6,3,1,4,4.271,48.18,0.200816,-1038.242943,2.883,-0.22458,-0.05292,0.17166,Modeling of diarylalkyl-imidazole and diarylalkyl-triazole derivatives as potent aromatase inhibitors for treatment of hormone-dependent cancer,J Comput Chem. 2010;31(12):2342-113,[0 1 0 ... 0 0 0],"[321.39900000000006, 321.16412586, 3.803980000000002, 3, 1, 48.18, 2, 6, 24, 0.8794107065470734, 0.3, 3]",321.39900000000006,321.16412586,3.803980000000002,3,1,48.18,2,6,24,0.8794107065470734,0.3,3,8.200959736721392,6.2956454684482885
656,Non-Steroid,FC(C=C1)=CC=C1C(CCN2C=CN=C2)C3=CC=C(F)C=C3,8.247369502068667,Inactive,298.36,5,3,0,3,3.979,17.82,0.193371289,-1004.715678,3.6652,-0.22162,-0.02861,0.19301,Modeling of diarylalkyl-imidazole and diarylalkyl-triazole derivatives as potent aromatase inhibitors for treatment of hormone-dependent cancer,J Comput Chem. 2010;31(12):2342-114,[0 1 0 ... 0 0 0],"[298.336, 298.128154952, 4.383500000000002, 2, 0, 17.82, 3, 5, 22, 0.6830979550861145, 0.16666666666666666, 3]",298.336,298.128154952,4.383500000000002,2,0,17.82,3,5,22,0.6830979550861145,0.16666666666666666,3,8.189954954615228,6.4572120030124
659,Non-Steroid,FC(C=C1)=CC=C1CCC(N2N=CN=C2)C3=CC=C(C#N)C=C3,8.17255018319399,Active,306.37,5,3,0,4,3.853,54.5,0.2009835,-1013.771238,3.97,-0.24258,-0.06053,0.18205,Modeling of diarylalkyl-imidazole and diarylalkyl-triazole derivatives as potent aromatase inhibitors for treatment of hormone-dependent cancer,J Comput Chem. 2010;31(12):2342-115,[0 1 0 ... 0 0 0],"[306.34400000000005, 306.1280747, 3.5110800000000015, 4, 0, 54.5, 3, 5, 23, 0.7245432432965477, 0.16666666666666666, 3]",306.34400000000005,306.1280747,3.5110800000000015,4,0,54.5,3,5,23,0.7245432432965477,0.16666666666666666,3,8.151387041780284,7.056883668428155
660,Non-Steroid,FC(C=C1)=CC=C1CCCC(N2C=CN=C2)C3=CC=C(C#N)C=C3,8.130889194765137,Active,319.41,6,3,0,3,4.437,41.61,0.190399929,-1037.043422,3.7178,-0.23561,-0.05945,0.17616,Modeling of diarylalkyl-imidazole and diarylalkyl-triazole derivatives as potent aromatase inhibitors for treatment of hormone-dependent cancer,J Comput Chem. 2010;31(12):2342-116,[0 1 0 ... 0 0 0],"[319.3830000000001, 319.148475796, 4.506180000000003, 3, 0, 41.61, 3, 6, 24, 0.6707403459989785, 0.2, 3]",319.3830000000001,319.148475796,4.506180000000003,3,0,41.61,3,6,24,0.6707403459989785,0.2,3,8.14270976941762,7.1992993249577895
661,Non-Steroid,FC(C=C1)=CC=C1CCCC(N2N=CN=C2)C3=CC=C(C#N)C=C3,8.159842524140021,Active,320.4,6,3,0,4,4.31,54.5,0.199587634,-1053.08046,3.5581,-0.2429,-0.06088,0.18202,Modeling of diarylalkyl-imidazole and diarylalkyl-triazole derivatives as potent aromatase inhibitors for treatment of hormone-dependent cancer,J Comput Chem. 2010;31(12):2342-117,[0 1 0 ... 0 0 0],"[320.3710000000001, 320.14372476400007, 3.9011800000000028, 4, 0, 54.5, 3, 6, 24, 0.6919029748506443, 0.21052631578947367, 3]",320.3710000000001,320.14372476400007,3.9011800000000028,4,0,54.5,3,6,24,0.6919029748506443,0.21052631578947367,3,8.14779431275696,7.115504329562445
662,Non-Steroid,FC(C=C1)=CC=C1CCC(N2C=CN=C2)C3=CC=C(C#N)C=C3,8.189195002006803,Active,305.38,5,3,0,3,3.981,41.61,0.191244179,-997.7305338,3.7181,-0.23617,-0.06004,0.17613,Modeling of diarylalkyl-imidazole and diarylalkyl-triazole derivatives as potent aromatase inhibitors for treatment of hormone-dependent cancer,J Comput Chem. 2010;31(12):2342-118,[0 1 0 ... 0 0 0],"[305.35600000000005, 305.132825732, 4.116080000000003, 3, 0, 41.61, 3, 5, 23, 0.7113674539818252, 0.15789473684210525, 3]",305.35600000000005,305.132825732,4.116080000000003,3,0,41.61,3,5,23,0.7113674539818252,0.15789473684210525,3,8.15141495107903,7.056430182707241
664,Non-Steroid,FC(C=C1)=CC=C1CC(C2N=CN=C2)C3=CC=C(C#N)C=C3,8.188325408687179,Active,291.35,4,3,0,4,3.801,48.51,0.196167333,-958.3930004,5.2151,-0.24822,-0.0684,0.17982,Modeling of diarylalkyl-imidazole and diarylalkyl-triazole derivatives as potent aromatase inhibitors for treatment of hormone-dependent cancer,J Comput Chem. 2010;31(12):2342-119,[0 1 0 ... 0 0 0],"[291.329, 291.117175668, 3.5049800000000024, 3, 0, 48.51, 2, 4, 22, 0.8500574480424743, 0.16666666666666666, 3]",291.329,291.117175668,3.5049800000000024,3,0,48.51,2,4,22,0.8500574480424743,0.16666666666666666,3,8.183358310717466,6.5560414286609126
665,Non-Steroid,FC(C=C1)=CC=C1CCC(C2N=CN=C2)C3=CC=C(C#N)C=C3,8.175367847062448,Active,305.38,5,3,0,4,4.257,48.51,0.194594897,-997.7048161,4.2985,-0.24639,-0.06883,0.17756,Modeling of diarylalkyl-imidazole and diarylalkyl-triazole derivatives as potent aromatase inhibitors for treatment of hormone-dependent cancer,J Comput Chem. 2010;31(12):2342-120,[0 1 0 ... 0 0 0],"[305.35600000000005, 305.132825732, 3.8950800000000028, 3, 0, 48.51, 2, 5, 23, 0.8262470560461953, 0.21052631578947367, 3]",305.35600000000005,305.132825732,3.8950800000000028,3,0,48.51,2,5,23,0.8262470560461953,0.21052631578947367,3,8.198804107864804,6.326971703402456
667,Non-Steroid,OC(C1=CC=C(F)C=C1)C(N2N=CN=C2)C3=CC=C(C#N)C=C3,8.3588481891316,Inactive,308.34,4,3,1,5,2.565,74.73,0.21282725,-1049.664452,1.9076,-0.24734,-0.0685,0.17884,Modeling of diarylalkyl-imidazole and diarylalkyl-triazole derivatives as potent aromatase inhibitors for treatment of hormone-dependent cancer,J Comput Chem. 2010;31(12):2342-121,[0 1 0 ... 0 0 0],"[308.3160000000001, 308.10733925600005, 2.61188, 5, 1, 74.72999999999999, 3, 4, 23, 0.8036710345428694, 0.11764705882352941, 3]",308.3160000000001,308.10733925600005,2.61188,5,1,74.72999999999999,3,4,23,0.8036710345428694,0.11764705882352941,3,8.297020295325767,5.04637714426861
669,Non-Steroid,FC(C=C1)=CC=C1CC(N2N=CN=C2)C3=CC=C(C#N)C=C3,8.136615867273427,Active,292.34,4,3,0,4,3.397,54.5,0.203405543,-974.4531703,4.436,-0.25577,-0.06059,0.19518,Modeling of diarylalkyl-imidazole and diarylalkyl-triazole derivatives as potent aromatase inhibitors for treatment of hormone-dependent cancer,J Comput Chem. 2010;31(12):2342-122,[0 1 0 ... 0 0 0],"[292.317, 292.112424636, 3.120980000000001, 4, 0, 54.5, 3, 4, 22, 0.7420800659491651, 0.11764705882352941, 3]",292.317,292.112424636,3.120980000000001,4,0,54.5,3,4,22,0.7420800659491651,0.11764705882352941,3,8.125389310875867,7.492222893077373
671,Non-Steroid,FC(C=C1)=CC=C1CCC(N2N=CN=C2)C3=CC=C(C#N)C=C3,8.141351611412963,Active,306.37,5,3,0,4,3.853,54.5,0.2009835,-1013.771238,3.97,-0.24258,-0.06053,0.18205,Modeling of diarylalkyl-imidazole and diarylalkyl-triazole derivatives as potent aromatase inhibitors for treatment of hormone-dependent cancer,J Comput Chem. 2010;31(12):2342-123,[0 1 0 ... 0 0 0],"[306.34400000000005, 306.1280747, 3.5110800000000015, 4, 0, 54.5, 3, 5, 23, 0.7245432432965477, 0.16666666666666666, 3]",306.34400000000005,306.1280747,3.5110800000000015,4,0,54.5,3,5,23,0.7245432432965477,0.16666666666666666,3,8.151387041780284,7.056883668428155
672,Non-Steroid,OC(C1=CC=C(F)C=C1)C(N2N=CN=C2)C3=CC=C(C#N)C=C3,8.321522495821112,Inactive,308.34,4,3,1,5,2.565,74.73,0.21282725,-1049.664452,1.9076,-0.24734,-0.0685,0.17884,Modeling of diarylalkyl-imidazole and diarylalkyl-triazole derivatives as potent aromatase inhibitors for treatment of hormone-dependent cancer,J Comput Chem. 2010;31(12):2342-124,[0 1 0 ... 0 0 0],"[308.3160000000001, 308.10733925600005, 2.61188, 5, 1, 74.72999999999999, 3, 4, 23, 0.8036710345428694, 0.11764705882352941, 3]",308.3160000000001,308.10733925600005,2.61188,5,1,74.72999999999999,3,4,23,0.8036710345428694,0.11764705882352941,3,8.297020295325767,5.04637714426861
